Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Daniel Bellinger,NYG,TE,22,4,3,9,8,0,0,0,0,0,0,79,1,14,0,0,0
Treylon Burks,TEN,WR,22,4,2,16,10,0,0,0,12,0,2,129,0,14,0,0,0
Andy Dalton,NOR,QB,35,1,1,0,0,236,1,28,3,0,1,0,0,14,0,1,1
Justice Hill,BAL,RB,25,4,0,4,4,0,0,0,125,0,19,19,0,14,0,0,0
Richie James,NYG,WR,27,4,1,20,15,0,0,0,6,0,2,155,0,14,0,1,1
Donovan Peoples-Jones,CLE,WR,23,4,4,24,12,0,0,0,0,0,0,141,0,14,0,0,0
Alec Pierce,IND,WR,22,3,2,13,7,0,0,0,0,0,0,141,0,14,0,0,0
Ben Skowronek,LAR,WR,25,4,4,16,12,0,0,0,0,0,0,140,0,14,0,0,0
Chase Claypool,PIT,WR,24,4,4,20,11,0,0,0,47,0,7,79,0,13,0,0,0
River Cracraft,MIA,WR,28,4,0,4,2,0,0,0,0,0,0,13,2,13,0,0,0
Jody Fortson,KAN,TE,27,4,0,3,2,0,0,0,0,0,0,11,2,13,0,0,0
Mike Gesicki,MIA,TE,27,4,0,10,8,0,0,0,0,0,0,71,1,13,0,0,0
Mecole Hardman,KAN,WR,24,4,4,12,8,0,0,0,-4,0,1,71,1,13,0,0,0
Zander Horvath,LAC,RB,24,4,0,6,3,0,0,0,2,0,1,7,2,13,0,0,0
Kyle Juszczyk,SFO,RB,31,4,3,5,2,0,0,0,10,1,3,59,0,13,0,0,0
Latavius Murray,NOR,RB,32,1,0,1,1,0,0,0,57,1,11,8,0,13,0,0,0
Quez Watkins,PHI,WR,24,4,2,4,2,0,0,0,0,0,0,69,1,13,0,0,0
Christian Watson,GNB,WR,23,3,1,10,6,0,0,0,22,1,2,51,0,13,0,0,0
Jordan Akins,HOU,TE,30,2,0,6,5,0,0,0,0,0,0,64,1,12,0,0,0
Marquez Callaway,NOR,WR,24,4,1,7,4,0,0,0,0,0,0,57,1,12,0,0,0
Evan Engram,JAX,TE,28,4,3,16,13,0,0,0,0,0,1,99,0,12,0,0,0
Noah Fant,SEA,TE,25,4,4,11,10,0,0,0,0,0,0,56,1,12,0,0,0
Nyheim Hines,IND,RB,26,4,3,19,17,0,0,0,11,0,8,113,0,12,0,1,0
Caleb Huntley,ATL,RB,24,2,0,0,0,0,0,0,59,1,11,0,0,12,0,0,0
Juwan Johnson,NOR,TE,26,4,1,17,9,0,0,0,0,0,0,116,0,12,0,0,0
Trey Lance,SFO,QB,22,2,2,0,0,194,0,31,67,0,16,0,0,12,1,1,0
Darnell Mooney,CHI,WR,25,4,4,16,8,0,0,0,0,0,0,121,0,12,0,0,0
Breshad Perriman,TAM,WR,29,3,2,12,6,0,0,0,-7,0,2,89,1,12,0,2,1
Kenny Pickett,PIT,QB,24,1,0,0,0,120,0,13,15,2,6,0,0,12,3,1,0
Tre'Quan Smith,NOR,WR,26,2,1,7,5,0,0,0,0,0,0,123,0,12,0,0,0
Rachaad White,TAM,RB,23,4,0,9,7,0,0,0,21,1,11,57,0,12,0,1,1
Brandon Bolden,LVR,RB,32,3,0,5,5,0,0,0,24,0,6,24,1,11,0,0,0
Teddy Bridgewater,MIA,QB,30,2,0,0,0,193,1,25,11,0,1,0,0,11,1,0,0
Ross Dwelley,SFO,TE,27,4,0,4,2,0,0,0,0,0,0,49,1,11,0,0,0
Kylen Granson,IND,TE,24,4,2,15,11,0,0,0,0,0,0,105,0,11,0,0,0
Noah Gray,KAN,TE,23,4,0,8,4,0,0,0,1,1,1,48,0,11,0,0,0
Dawson Knox,BUF,TE,26,4,4,17,12,0,0,0,0,0,0,111,0,11,0,0,0
Chris Moore,HOU,WR,29,4,1,12,8,0,0,0,0,0,0,108,0,11,0,0,0
Chigoziem Okonkwo,TEN,TE,23,4,1,4,4,0,0,0,-4,0,1,49,1,11,0,0,0
Dante Pettis,CHI,WR,27,4,2,4,1,0,0,0,0,0,0,51,1,11,0,0,0
Eric Saubert,DEN,TE,28,4,2,6,2,0,0,0,0,0,0,47,1,11,0,0,0
Sammy Watkins,GNB,WR,29,2,2,7,6,0,0,0,0,0,0,111,0,11,0,0,0
Justin Watson,KAN,WR,26,4,0,5,2,0,0,0,0,0,0,50,1,11,0,0,0
Braxton Berrios,NYJ,WR,27,4,0,8,6,2,1,1,20,0,3,43,0,10,0,0,0
Cameron Brate,TAM,TE,31,4,1,19,11,0,0,0,0,0,0,100,0,10,0,0,0
Reggie Gilliam,BUF,RB,25,4,0,6,4,0,0,0,0,0,0,39,1,10,0,0,0
KhaDarel Hodge,ATL,WR,27,4,1,7,5,0,0,0,0,0,0,95,0,10,0,0,0
Alvin Kamara,NOR,RB,27,2,2,11,5,0,0,0,100,0,24,19,0,10,0,1,1
Demarcus Robinson,BAL,WR,28,4,0,10,5,0,0,0,0,0,0,41,1,10,0,0,0
Geoff Swaim,TEN,TE,29,4,4,7,6,0,0,0,0,0,0,38,1,10,0,0,0
Parris Campbell,IND,WR,25,4,3,12,9,0,0,0,0,0,0,90,0,9,0,0,0
Chris Godwin,TAM,WR,26,2,2,13,10,0,0,0,0,0,0,94,0,9,0,0,0
Kendall Hinton,DEN,WR,25,3,2,5,4,0,0,0,0,0,0,86,0,9,0,0,0
Jauan Jennings,SFO,WR,25,4,1,15,8,0,0,0,0,0,0,93,0,9,0,0,0
Julio Jones,TAM,WR,33,2,1,7,4,0,0,0,17,0,2,76,0,9,0,0,0
Sony Michel,LAC,RB,27,4,0,6,5,0,0,0,58,0,22,31,0,9,0,0,0
Zack Moss,BUF,RB,25,4,0,8,7,0,0,0,84,0,16,27,0,9,0,1,1
Craig Reynolds,DET,RB,26,4,0,3,3,0,0,0,59,0,11,30,0,9,0,0,0
Boston Scott,PHI,RB,27,3,0,1,1,0,0,0,29,1,10,2,0,9,0,0,0
Ian Thomas,CAR,TE,26,4,4,12,6,0,0,0,0,0,0,85,0,9,0,0,0
Harrison Bryant,CLE,TE,24,4,2,14,9,0,0,0,0,0,0,81,0,8,0,0,0
James Cook,BUF,RB,23,4,0,7,4,0,0,0,58,0,13,37,0,8,0,1,1
Michael Gallup,DAL,WR,26,1,1,3,2,0,0,0,0,0,0,24,1,8,0,0,0
Joshua Kelley,LAC,RB,25,4,0,8,5,0,0,0,55,0,13,23,0,8,0,0,0
Trent Sherfield,MIA,WR,26,4,0,11,8,0,0,0,0,0,0,77,0,8,0,0,0
Jaylen Warren,PIT,RB,24,4,0,4,3,0,0,0,70,0,14,7,0,8,0,1,0
Keenan Allen,LAC,WR,30,1,1,4,4,0,0,0,0,0,0,66,0,7,0,0,0
Pharaoh Brown,HOU,TE,28,3,3,10,7,0,0,0,0,0,0,72,0,7,0,0,0
Justin Jackson,DET,RB,26,4,0,2,2,0,0,0,3,0,2,4,1,7,0,0,0
Ty Montgomery,NWE,WR,29,1,0,4,3,0,0,0,-2,0,2,15,1,7,0,0,0
Foster Moreau,LVR,TE,25,3,2,8,6,0,0,0,0,0,0,74,0,7,0,0,0
Johnny Mundt,MIN,TE,28,4,3,9,7,0,0,0,0,0,0,68,0,7,0,0,0
Chris Myarick,NYG,TE,27,4,3,2,2,0,0,0,0,0,0,7,1,7,0,0,0
Josh Oliver,BAL,TE,25,4,1,2,2,0,0,0,0,0,0,8,1,7,0,0,0
Kenneth Walker III,SEA,RB,22,3,0,7,6,0,0,0,58,0,15,14,0,7,0,0,0
Nick Westbrook-Ikhine,TEN,WR,25,4,3,9,5,0,0,0,0,0,0,66,0,7,0,0,0
Jamison Crowder,BUF,WR,29,4,0,13,6,0,0,0,0,0,0,60,0,6,0,1,0
Jalen Guyton,LAC,WR,25,3,0,4,2,0,0,0,0,0,0,64,0,6,0,0,0
KJ Hamler,DEN,WR,23,3,0,2,1,0,0,0,0,0,0,55,0,6,0,0,0
Cole Kmet,CHI,TE,23,4,4,8,5,0,0,0,0,0,0,56,0,6,0,0,0
Jake Kumerow,BUF,WR,30,3,1,5,4,0,0,0,0,0,0,64,0,6,0,0,0
Hunter Renfrow,LVR,WR,27,2,1,16,10,0,0,0,0,0,0,80,0,6,0,3,1
Dalton Schultz,DAL,TE,26,3,3,16,9,0,0,0,0,0,0,80,0,6,0,1,1
David Sills,NYG,WR,26,4,4,10,6,0,0,0,0,0,0,62,0,6,0,0,0
Jonnu Smith,NWE,TE,27,4,2,11,7,0,0,0,0,0,0,58,0,6,0,0,0
Mike Strachan,IND,WR,25,4,0,6,3,0,0,0,0,0,0,59,0,6,0,0,0
Bailey Zappe,NWE,QB,23,1,0,0,0,99,1,15,0,0,0,0,0,6,0,1,1
Michael Bandy,LAC,WR,25,1,0,2,2,0,0,0,0,0,0,49,0,5,0,0,0
Andrew Beck,DEN,TE,26,4,1,3,2,0,0,0,-1,0,1,52,0,5,0,0,0
David Bell,CLE,WR,22,4,1,5,4,0,0,0,0,0,0,47,0,5,0,0,0
Kenyan Drake,BAL,RB,28,2,2,1,1,0,0,0,39,0,17,15,0,5,0,0,0
Marquise Goodwin,SEA,WR,32,4,0,8,4,0,0,0,0,0,0,53,0,5,0,0,0
A.J. Green,ARI,WR,34,3,3,13,5,0,0,0,0,0,0,29,0,5,0,0,0
